id,label,curation
abc,花散里（東大本）,https://mp.ex.nii.ac.jp/api/kuronet/curation/bc8809e4746dfa28b1f3e89d24171f7e96988713
abc,花散里（東大本）,https://mp.ex.nii.ac.jp/api/kuronet/curation/c5d2b7e3af27ae949f62dfa46357a0713a1a7ba1
abc,花散里（東大本）,https://mp.ex.nii.ac.jp/api/kuronet/curation/cd9d905ffbbaa8a984bed94ec03fb17469ea6c10
abc,花散里（東大本）,https://mp.ex.nii.ac.jp/api/kuronet/curation/258c2ebf0f74c9bd2ea2c7438c1aad23227e198c
abc,花散里（東大本）,https://mp.ex.nii.ac.jp/api/kuronet/curation/746f5e652a23fcd4f180c96e1b0757d8329e46eb
abc,花散里（東大本）,https://mp.ex.nii.ac.jp/api/kuronet/curation/da1feb5bb9ebcfb83285369654f6246974e91348
abc,花散里（東大本）,https://mp.ex.nii.ac.jp/api/kuronet/curation/946f85c55337cd602757ff743e6aaee986769102
abc,花散里（東大本）,https://mp.ex.nii.ac.jp/api/kuronet/curation/14f9d61d2a45a0666be8d9fa0a2f52959ab5fb05
abc,花散里（東大本）,https://mp.ex.nii.ac.jp/api/kuronet/curation/930c4081ccb3049c8e71fc34539506b265f6bee6
abc,花散里（東大本）,https://mp.ex.nii.ac.jp/api/kuronet/curation/3ded05e7c5b8714dd1c81422845236fc76eee4b7
