dcterms:title,dcterms:identifier,dcterms:relation
すま,すま,https://www.dl.ndl.go.jp/api/iiif/3437687/manifest.json
あかし,あかし,https://www.dl.ndl.go.jp/api/iiif/3437687/manifest.json
みをつくし,みをつくし,https://www.dl.ndl.go.jp/api/iiif/3437687/manifest.json
よもきふ,よもきふ,https://www.dl.ndl.go.jp/api/iiif/3437687/manifest.json
せきや,せきや,https://www.dl.ndl.go.jp/api/iiif/3437687/manifest.json
ゑあはせ,ゑあはせ,https://www.dl.ndl.go.jp/api/iiif/3437687/manifest.json
松かせ,松かせ,https://www.dl.ndl.go.jp/api/iiif/3437687/manifest.json
うす雲,うす雲,https://www.dl.ndl.go.jp/api/iiif/3437687/manifest.json
あさかほ,あさかほ,https://www.dl.ndl.go.jp/api/iiif/3437687/manifest.json
をとめ,をとめ,https://www.dl.ndl.go.jp/api/iiif/3437687/manifest.json
玉かつら,玉かつら,https://www.dl.ndl.go.jp/api/iiif/3437687/manifest.json
初音,初音,https://www.dl.ndl.go.jp/api/iiif/3437687/manifest.json
こてふ,こてふ,https://www.dl.ndl.go.jp/api/iiif/3437687/manifest.json
